Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
3.729,-18,-12,PID,45,642.0
3.750,-18,-12,PID,45,642.0
3.770,-18,-13,PID,45,664.5
3.793,-19,-13,PID,45,700.5
3.815,-19,-13,PID,45,700.5
3.835,-20,-14,PID,45,715.0
3.858,-22,-14,PID,45,751.5
3.878,-22,-14,PID,45,751.5
3.904,-23,-16,PID,45,713.0
3.927,-25,-16,PID,45,738.0
3.949,-25,-16,PID,45,738.0
3.969,-28,-17,PID,45,744.5
3.992,-30,-18,PID,45,671.5
4.012,-30,-18,PID,45,671.5
4.032,-33,-20,PID,45,580.5
4.057,-37,-22,PID,45,531.5
4.079,-37,-22,PID,45,531.5
4.101,-40,-22,PID,45,546.5
4.125,-40,-22,PID,45,546.5
4.147,-43,-23,PID,45,537.0
4.167,-46,-23,PID,45,520.5
4.191,-46,-23,PID,45,520.5
4.213,-49,-23,PID,45,526.0
4.239,-53,-24,PID,45,518.5
4.262,-56,-24,PID,45,521.0
4.282,-56,-24,PID,45,521.0
4.302,-50,-24,PID,45,526.0
4.327,-45,-25,PID,40,483.0
4.350,-45,-25,PID,40,483.0
4.370,-37,-27,PID,40,424.0
4.393,-29,-27,PID,40,391.5
4.415,-29,-27,PID,40,391.5
4.437,-23,-28,PID,40,360.5
4.459,-23,-28,PID,40,360.5
4.481,-19,-29,PID,40,323.0
4.502,-20,-30,PID,40,323.0
4.526,-26,-31,PID,40,313.5
4.548,-26,-31,PID,40,313.5
4.572,-32,-32,PID,40,313.0
4.593,-38,-33,PID,40,314.0
4.615,-38,-33,PID,40,314.0
4.636,-46,-34,PID,40,355.0
4.659,-52,-36,PID,40,332.5
4.682,-52,-36,PID,40,332.5
4.703,-57,-36,PID,40,281.5
4.726,-63,-37,PID,40,268.0
4.749,-63,-37,PID,40,268.0
4.769,-63,-37,PID,40,291.5
4.792,-63,-38,PID,40,288.5
4.813,-63,-38,PID,40,288.5
4.835,-61,-40,PID,40,300.5
4.859,-60,-40,PID,40,311.0
4.881,-60,-40,PID,40,311.0
4.905,-60,-41,PID,40,320.0
4.926,-60,-41,PID,40,320.0
4.948,-59,-42,PID,40,324.5
4.969,-57,-36,PID,40,328.0
4.994,-58,-33,PID,40,339.0
5.016,-58,-33,PID,40,339.0
5.037,-55,-29,PID,40,334.5
5.059,-55,-19,PID,40,328.0
5.081,-55,-19,PID,40,328.0
5.101,-55,-14,PID,40,321.0
5.123,-54,-18,PID,40,324.5
5.146,-54,-18,PID,40,324.5
5.166,-54,-26,PID,40,346.5
5.189,-54,-26,PID,40,346.5
5.210,-53,-27,PID,40,340.0
5.234,-52,-24,PID,40,357.5
5.258,-52,-24,PID,40,357.5
5.280,-52,-25,PID,40,382.5
5.300,-52,-28,PID,40,383.5
5.323,-52,-28,PID,40,383.5
5.345,-51,-27,PID,40,387.0
5.366,-47,-27,PID,40,361.0
5.390,-47,-27,PID,40,361.0
5.410,-46,-29,PID,40,347.0
5.430,-44,-29,PID,40,348.5
5.453,-44,-29,PID,40,348.5
5.473,-43,-29,PID,40,345.0
5.493,-42,-30,PID,40,358.5
5.515,-42,-30,PID,40,358.5
5.535,-42,-30,PID,40,363.5
5.557,-41,-30,PID,40,383.5
5.581,-41,-30,PID,40,383.5
5.601,-39,-32,PID,40,387.0
5.631,-39,-32,PID,40,387.0
5.652,-40,-32,PID,40,384.0
5.671,-38,-32,PID,40,366.0
5.693,-38,-32,PID,40,366.0
5.713,-39,-33,PID,40,367.0
5.733,-40,-35,PID,40,366.5
5.755,-40,-35,PID,40,366.5
5.774,-47,-35,PID,40,366.5
5.795,-47,-35,PID,40,366.5
5.817,-53,-35,PID,40,354.5
5.837,-58,-36,PID,40,364.5
5.857,-58,-36,PID,40,364.5
5.878,-56,-37,PID,40,347.0
5.902,-54,-37,PID,40,355.0
5.923,-54,-37,PID,40,355.0
5.943,-55,-38,PID,40,352.0
5.963,-53,-38,PID,40,354.0
5.985,-53,-38,PID,40,354.0
6.005,-52,-38,PID,40,351.5
6.027,-50,-40,PID,40,345.5
6.049,-50,-40,PID,40,345.5
6.069,-50,-40,PID,40,345.0
6.089,-50,-40,PID,40,345.0
6.109,-49,-40,PID,40,332.0
6.129,-48,-39,PID,40,316.0
6.150,-48,-39,PID,40,316.0
6.169,-45,-35,PID,40,317.5
6.191,-42,-27,PID,40,309.0
6.212,-42,-27,PID,40,309.0
6.240,-40,-22,PID,40,316.0
6.262,-37,-23,PID,40,339.0
6.283,-37,-23,PID,40,339.0
6.303,-36,-28,PID,40,333.5
6.324,-35,-25,PID,40,369.5
6.346,-35,-25,PID,40,369.5
6.366,-36,-26,PID,40,349.0
6.389,-36,-26,PID,40,349.0
6.410,-42,-30,PID,40,318.5
6.430,-48,-30,PID,40,350.5
6.452,-48,-30,PID,40,350.5
6.472,-54,-30,PID,40,355.5
6.491,-62,-34,PID,40,308.0
6.514,-62,-34,PID,40,308.0
6.534,-63,-34,PID,40,327.0
6.556,-63,-34,PID,40,327.0
6.581,-63,-34,PID,40,310.0
6.602,-64,-35,PID,40,318.5
6.625,-62,-36,PID,40,336.5
6.648,-62,-36,PID,40,336.5
6.668,-63,-36,PID,40,341.0
6.691,-61,-37,PID,40,343.5
6.712,-61,-37,PID,40,343.5
6.732,-62,-38,PID,40,342.0
6.755,-62,-38,PID,40,342.0
6.777,-60,-39,PID,40,321.5
6.798,-58,-40,PID,40,327.5
6.820,-58,-40,PID,40,327.5
6.840,-58,-41,PID,40,313.0
6.860,-58,-42,PID,40,295.5
6.883,-58,-42,PID,40,295.5
6.905,-57,-42,PID,40,274.0
6.926,-56,-34,PID,40,271.5
6.948,-56,-34,PID,40,271.5
6.969,-55,-26,PID,40,279.0
6.992,-55,-26,PID,40,279.0
7.013,-54,-19,PID,40,247.0
7.033,-52,-9,PID,40,238.0
7.054,-52,-9,PID,40,238.0
7.074,-53,-9,PID,40,202.5
7.096,-50,-14,PID,40,194.0
7.117,-50,-14,PID,40,194.0
7.137,-50,-15,PID,40,188.5
7.159,-48,-15,PID,40,206.5
7.182,-48,-15,PID,40,206.5
7.203,-46,-17,PID,40,213.5
7.227,-46,-17,PID,40,213.5
7.251,-45,-17,PID,40,216.0
7.271,-43,-16,PID,40,232.0
7.292,-41,-14,PID,40,228.0
7.313,-41,-14,PID,40,228.0
7.334,-41,-18,PID,40,142.5
7.357,-40,-19,PID,40,172.5
7.378,-40,-19,PID,40,172.5
7.399,-38,-19,PID,40,168.0
7.422,-38,-19,PID,40,168.0
7.443,-35,-21,PID,40,182.0
7.463,-33,-18,PID,40,257.0
7.486,-33,-18,PID,40,257.0
7.507,-31,-22,PID,40,190.0
7.528,-37,-18,PID,40,314.0
7.550,-37,-18,PID,40,314.0
7.574,-39,-24,PID,40,233.0
7.595,-44,-25,PID,40,263.0
7.616,-44,-25,PID,40,263.0
7.637,-47,-16,PID,40,464.0
7.657,-47,-16,PID,40,464.0
7.679,-48,-21,PID,40,423.5
7.700,-52,-17,PID,40,485.5
7.723,-53,-25,PID,40,292.0
7.745,-53,-25,PID,40,292.0
7.767,-46,-22,PID,40,404.5
7.789,-46,-22,PID,40,404.5
7.812,-39,-19,PID,45,512.0
