Czas_s,Uchyb_X_px,Uchyb_Y_px,Regulator,Deadband_Stat,Pole_Obiektu
16.126,-256,-48,PID,40,432.5
16.151,-256,-48,PID,40,432.5
16.173,-259,-42,PID,45,648.5
16.193,-258,-39,PID,40,459.5
16.215,-258,-39,PID,40,459.5
16.238,-252,-31,PID,40,425.5
16.259,-254,-22,PID,40,315.0
16.281,-254,-22,PID,40,315.0
16.302,-247,-24,PID,40,340.5
16.322,-241,-26,PID,40,435.5
16.344,-241,-26,PID,40,435.5
16.366,-243,-25,PID,40,297.0
16.387,-243,-25,PID,40,297.0
16.408,-239,-25,PID,40,266.5
16.429,-235,-26,PID,40,252.0
16.451,-235,-26,PID,40,252.0
16.472,-230,-24,PID,40,248.5
16.493,-225,-25,PID,40,240.5
16.516,-225,-25,PID,40,240.5
16.537,-220,-25,PID,40,250.0
16.561,-215,-24,PID,40,232.5
16.585,-207,-24,PID,40,209.0
16.606,-207,-24,PID,40,209.0
16.627,-201,-25,PID,40,226.0
16.651,-201,-25,PID,40,226.0
16.671,-195,-25,PID,40,229.0
16.692,-188,-25,PID,40,244.0
16.716,-188,-25,PID,40,244.0
16.737,-180,-26,PID,40,229.0
16.758,-172,-26,PID,40,235.0
16.781,-172,-26,PID,40,235.0
16.802,-164,-26,PID,40,242.0
16.822,-156,-25,PID,40,261.0
16.844,-156,-25,PID,40,261.0
16.865,-147,-26,PID,40,263.0
16.892,-138,-26,PID,40,285.0
16.916,-138,-26,PID,40,285.0
16.938,-128,-27,PID,40,265.0
16.959,-119,-27,PID,40,248.5
16.983,-119,-27,PID,40,248.5
17.003,-109,-26,PID,40,255.0
17.024,-100,-26,PID,40,247.0
17.045,-100,-26,PID,40,247.0
17.066,-90,-26,PID,40,255.0
17.087,-90,-26,PID,40,255.0
17.109,-81,-26,PID,40,271.0
17.130,-70,-28,PID,40,194.0
17.153,-70,-28,PID,40,194.0
17.174,-62,-26,PID,40,178.5
17.196,-53,-26,PID,40,166.5
17.223,-37,-22,PID,40,295.0
17.247,-37,-22,PID,40,295.0
17.268,-37,-22,PID,40,163.0
17.288,-32,-21,PID,40,197.5
17.309,-32,-21,PID,40,197.5
17.331,-30,-18,PID,40,229.5
17.352,-30,-18,PID,40,229.5
17.373,-31,-18,PID,40,184.0
17.394,-32,-16,PID,40,204.0
17.417,-32,-16,PID,40,204.0
17.438,-35,-16,PID,40,179.5
17.459,-36,-18,PID,40,167.5
17.482,-36,-18,PID,40,167.5
17.502,-37,-20,PID,40,145.0
17.522,-41,-19,PID,40,155.0
17.544,-41,-19,PID,40,155.0
17.570,-44,-18,PID,40,174.5
17.591,-48,-19,PID,40,191.0
17.612,-48,-19,PID,40,191.0
17.633,-53,-16,PID,40,224.5
17.654,-53,-16,PID,40,224.5
17.675,-48,-17,PID,40,189.0
17.695,-44,-17,PID,40,180.5
17.721,-44,-17,PID,40,180.5
17.742,-40,-16,PID,40,203.5
17.764,-32,-12,PID,40,300.0
17.786,-31,-12,PID,40,222.0
17.807,-31,-12,PID,40,222.0
17.828,-25,-9,PID,40,250.0
17.849,-25,-9,PID,40,250.0
17.870,-40,-16,PID,40,203.5
17.895,-19,-5,PID,40,315.0
17.916,-19,-5,PID,40,315.0
17.938,-17,1,PID,40,355.0
17.958,-17,6,PID,40,376.5
17.979,-17,6,PID,40,376.5
17.999,-20,10,PID,40,313.5
18.020,-20,15,PID,40,322.0
18.040,-20,15,PID,40,322.0
18.061,-18,20,PID,40,349.5
18.084,-18,20,PID,40,349.5
18.104,-16,25,PID,40,387.0
18.125,-14,29,PID,40,397.0
18.146,-14,29,PID,40,397.0
18.166,-12,33,PID,40,393.5
18.188,-7,38,PID,40,400.0
18.209,-7,38,PID,40,400.0
18.236,-3,43,PID,40,397.5
18.258,3,47,PID,40,429.5
18.279,3,47,PID,40,429.5
18.299,10,50,PID,40,411.5
18.320,10,50,PID,40,411.5
18.341,17,53,PID,40,435.5
18.361,27,54,PID,40,465.5
18.383,41,47,PID,40,479.5
18.404,41,47,PID,40,479.5
18.425,52,41,PID,45,516.5
18.446,52,41,PID,45,516.5
18.465,63,40,PID,45,524.5
18.486,74,35,PID,45,509.0
18.507,74,35,PID,45,509.0
18.527,80,25,PID,45,540.0
18.550,80,25,PID,45,540.0
18.570,86,24,PID,45,553.5
18.590,90,31,PID,45,557.0
18.611,90,31,PID,45,557.0
18.631,96,34,PID,45,562.0
18.653,102,32,PID,45,594.5
18.674,102,32,PID,45,594.5
18.695,110,34,PID,45,597.5
18.717,110,34,PID,45,597.5
18.739,117,39,PID,45,637.0
18.760,127,41,PID,45,661.0
18.783,136,42,PID,45,701.5
18.804,136,42,PID,45,701.5
18.824,147,47,PID,45,735.0
18.844,147,47,PID,45,735.0
18.864,158,52,PID,45,754.0
18.886,158,52,PID,45,754.0
18.909,172,55,PID,45,847.0
18.930,183,57,PID,45,868.0
18.953,183,57,PID,45,868.0
18.974,197,55,PID,45,875.0
18.995,212,49,PID,45,904.0
19.017,227,42,PID,45,954.5
19.038,227,42,PID,45,954.5
19.059,242,35,PID,45,999.0
19.081,242,35,PID,45,999.0
19.102,259,29,PID,45,1039.0
19.121,276,25,PID,45,1080.5
19.141,276,25,PID,45,1080.5
19.161,294,29,PID,45,1106.0
19.181,294,29,PID,45,1106.0
19.200,309,42,PID,45,836.0
19.224,317,49,PID,40,157.0
19.243,317,49,PID,40,157.0
19.262,320,240,PID,25,0
19.282,320,240,PID,25,0
19.300,320,240,PID,25,0
19.319,320,240,PID,25,0
19.337,320,240,PID,25,0
19.357,320,240,PID,25,0
19.376,320,240,PID,25,0
19.394,320,240,PID,25,0
19.414,320,240,PID,25,0
19.432,320,240,PID,25,0
19.452,320,240,PID,25,0
19.472,320,240,PID,25,0
19.490,320,240,PID,25,0
19.509,320,240,PID,25,0
19.527,320,240,PID,25,0
19.546,320,240,PID,25,0
19.568,320,240,PID,25,0
19.587,320,240,PID,25,0
19.605,320,240,PID,25,0
19.626,320,240,PID,25,0
19.646,320,240,PID,25,0
19.665,320,240,PID,25,0
19.683,320,240,PID,25,0
19.701,320,240,PID,25,0
19.721,320,240,PID,25,0
19.740,320,240,PID,25,0
19.759,320,240,PID,25,0
19.780,320,240,PID,25,0
19.798,320,240,PID,25,0
19.818,320,240,PID,25,0
19.836,320,240,PID,25,0
19.854,320,240,PID,25,0
19.873,320,240,PID,25,0
19.895,320,240,PID,25,0
19.915,320,240,PID,25,0
19.932,320,240,PID,25,0
19.951,320,240,PID,25,0
19.969,320,240,PID,25,0
19.988,320,240,PID,25,0
20.006,320,240,PID,25,0
20.023,320,240,PID,25,0
20.041,320,240,PID,25,0
20.060,320,240,PID,25,0
20.080,320,240,PID,25,0
20.097,320,240,PID,25,0
20.116,320,240,PID,25,0
20.134,320,240,PID,25,0
20.154,320,240,PID,25,0
20.174,320,240,PID,25,0
20.192,320,240,PID,25,0
20.217,320,240,PID,25,0
20.236,320,240,PID,25,0
20.253,320,240,PID,25,0
20.273,320,240,PID,25,0
20.291,320,240,PID,25,0
20.312,320,240,PID,25,0
20.329,320,240,PID,25,0
20.349,320,240,PID,25,0
20.367,320,240,PID,25,0
20.387,320,240,PID,25,0
20.409,320,240,PID,25,0
20.427,320,240,PID,25,0
20.449,320,240,PID,25,0
20.467,320,240,PID,25,0
20.487,320,240,PID,25,0
20.507,320,240,PID,25,0
20.526,320,240,PID,25,0
20.550,320,240,PID,25,0
20.569,320,240,PID,25,0
20.590,320,240,PID,25,0
20.611,320,240,PID,25,0
20.629,320,240,PID,25,0
20.650,320,240,PID,25,0
20.668,320,240,PID,25,0
20.689,320,240,PID,25,0
20.707,320,240,PID,25,0
20.726,320,240,PID,25,0
20.748,320,240,PID,25,0
20.767,320,240,PID,25,0
20.786,320,240,PID,25,0
20.805,320,240,PID,25,0
20.824,320,240,PID,25,0
20.845,320,240,PID,25,0
20.862,320,240,PID,25,0
20.883,320,240,PID,25,0
20.906,320,240,PID,25,0
20.925,320,240,PID,25,0
20.944,320,240,PID,25,0
20.962,320,240,PID,25,0
20.982,320,240,PID,25,0
21.002,320,240,PID,25,0
21.021,320,240,PID,25,0
21.042,320,240,PID,25,0
21.060,320,240,PID,25,0
21.080,320,240,PID,25,0
21.100,320,240,PID,25,0
21.120,320,240,PID,25,0
21.138,320,240,PID,25,0
21.157,320,240,PID,25,0
21.179,320,240,PID,25,0
21.199,320,240,PID,25,0
21.222,320,240,PID,25,0
21.241,320,240,PID,25,0
21.260,320,240,PID,25,0
21.281,0,0,PID,25,0
21.309,0,0,PID,25,0
21.330,-66,65,PID,40,408.0
21.352,-129,19,PID,45,2836.0
21.376,-129,19,PID,45,2830.5
21.399,-126,22,PID,45,2682.5
21.423,-127,13,PID,50,5776.0
21.446,-127,13,PID,50,5776.0
21.468,-119,29,PID,50,5137.5
21.490,-124,50,PID,50,6673.0
21.514,-124,50,PID,50,6673.0
21.536,-90,71,PID,50,5183.5
21.563,-65,98,PID,50,3239.5
21.587,-56,133,PID,50,6645.0
21.610,-56,133,PID,50,6645.0
21.633,-12,164,PID,45,2469.0
21.654,-6,195,PID,50,6587.5
21.677,-6,195,PID,50,6587.5
21.697,-40,225,PID,45,529.5
21.717,-13,236,PID,40,113.0
21.740,-13,236,PID,40,113.0
21.760,110,159,PID,20,50.0
21.784,113,158,PID,20,80.5
21.806,320,240,PID,25,0
21.825,320,240,PID,25,0
21.844,320,240,PID,25,0
21.862,320,240,PID,25,0
21.888,320,240,PID,25,0
21.909,320,240,PID,25,0
21.927,320,240,PID,25,0
21.946,320,240,PID,25,0
21.966,320,240,PID,25,0
21.984,320,240,PID,25,0
22.005,320,240,PID,25,0
22.024,320,240,PID,25,0
22.045,320,240,PID,25,0
22.067,320,240,PID,25,0
22.087,320,240,PID,25,0
22.106,320,240,PID,25,0
22.124,320,240,PID,25,0
22.144,320,240,PID,25,0
22.162,320,240,PID,25,0
22.182,320,240,PID,25,0
22.200,320,240,PID,25,0
22.222,320,240,PID,25,0
22.248,320,240,PID,25,0
22.272,320,240,PID,25,0
22.290,320,240,PID,25,0
22.311,320,240,PID,25,0
22.329,320,240,PID,25,0
22.348,320,240,PID,25,0
22.367,320,240,PID,25,0
22.385,320,240,PID,25,0
22.403,320,240,PID,25,0
22.423,320,240,PID,25,0
22.442,320,240,PID,25,0
22.460,320,240,PID,25,0
22.481,320,240,PID,25,0
22.499,320,240,PID,25,0
22.518,320,240,PID,25,0
22.536,320,240,PID,25,0
22.560,320,240,PID,25,0
22.581,320,240,PID,25,0
22.600,320,240,PID,25,0
22.618,320,240,PID,25,0
22.637,320,240,PID,25,0
22.655,320,240,PID,25,0
22.673,320,240,PID,25,0
22.691,320,240,PID,25,0
22.713,320,240,PID,25,0
22.731,320,240,PID,25,0
22.752,320,240,PID,25,0
22.772,320,240,PID,25,0
22.790,320,240,PID,25,0
22.809,320,240,PID,25,0
22.827,320,240,PID,25,0
22.847,320,240,PID,25,0
22.866,320,240,PID,25,0
22.890,320,240,PID,25,0
22.912,320,240,PID,25,0
22.930,320,240,PID,25,0
22.951,320,240,PID,25,0
22.970,320,240,PID,25,0
22.990,320,240,PID,25,0
23.010,320,240,PID,25,0
23.028,320,240,PID,25,0
23.048,320,240,PID,25,0
23.067,320,240,PID,25,0
23.086,320,240,PID,25,0
23.106,320,240,PID,25,0
23.124,320,240,PID,25,0
23.144,320,240,PID,25,0
23.161,320,240,PID,25,0
23.181,320,240,PID,25,0
23.201,320,240,PID,25,0
23.224,320,240,PID,25,0
23.243,320,240,PID,25,0
23.261,320,240,PID,25,0
23.281,320,240,PID,25,0
23.300,320,240,PID,25,0
23.318,320,240,PID,25,0
23.338,320,240,PID,25,0
23.357,320,240,PID,25,0
23.377,320,240,PID,25,0
23.395,320,240,PID,25,0
23.415,320,240,PID,25,0
23.434,320,240,PID,25,0
23.452,320,240,PID,25,0
23.473,320,240,PID,25,0
23.492,320,240,PID,25,0
23.511,320,240,PID,25,0
23.530,320,240,PID,25,0
23.554,320,240,PID,25,0
23.573,320,240,PID,25,0
23.591,320,240,PID,25,0
23.612,320,240,PID,25,0
23.632,320,240,PID,25,0
23.650,320,240,PID,25,0
23.670,320,240,PID,25,0
23.689,320,240,PID,25,0
23.708,320,240,PID,25,0
23.726,320,240,PID,25,0
23.747,320,240,PID,25,0
23.766,320,240,PID,25,0
23.785,320,240,PID,25,0
23.805,320,240,PID,25,0
23.824,0,0,PID,25,0
23.845,0,0,PID,25,0
23.869,0,0,PID,25,0
23.893,126,-15,PID,40,300.5
23.918,123,-16,PID,45,1003.0
23.941,123,-16,PID,45,1003.0
23.963,119,-10,PID,40,255.0
23.987,120,-12,PID,45,1171.0
24.011,120,-12,PID,45,1171.0
24.034,136,29,PID,45,919.0
24.056,154,69,PID,45,622.0
24.080,154,69,PID,45,615.0
24.103,173,97,PID,45,927.0
24.126,197,131,PID,45,1076.5
24.151,197,130,PID,45,1068.0
24.173,215,147,PID,40,280.0
24.194,230,166,PID,40,389.5
24.217,248,205,PID,40,192.5
24.238,248,205,PID,40,192.5
24.258,320,240,PID,25,0
24.278,320,240,PID,25,0
24.296,320,240,PID,25,0
24.317,320,240,PID,25,0
24.336,320,240,PID,25,0
24.354,320,240,PID,25,0
24.375,320,240,PID,25,0
24.393,320,240,PID,25,0
24.413,320,240,PID,25,0
24.431,320,240,PID,25,0
24.450,320,240,PID,25,0
24.471,320,240,PID,25,0
24.489,320,240,PID,25,0
24.509,320,240,PID,25,0
24.526,320,240,PID,25,0
24.550,320,240,PID,25,0
24.572,320,240,PID,25,0
24.590,320,240,PID,25,0
24.611,320,240,PID,25,0
24.629,320,240,PID,25,0
24.648,320,240,PID,25,0
24.667,320,240,PID,25,0
24.685,320,240,PID,25,0
24.704,320,240,PID,25,0
24.723,320,240,PID,25,0
24.743,320,240,PID,25,0
24.761,320,240,PID,25,0
24.781,320,240,PID,25,0
24.800,320,240,PID,25,0
24.818,320,240,PID,25,0
24.839,320,240,PID,25,0
24.857,320,240,PID,25,0
24.878,320,240,PID,25,0
24.898,320,240,PID,25,0
24.916,320,240,PID,25,0
24.937,320,240,PID,25,0
24.955,320,240,PID,25,0
24.973,320,240,PID,25,0
24.991,320,240,PID,25,0
25.011,320,240,PID,25,0
25.029,320,240,PID,25,0
25.048,320,240,PID,25,0
25.067,320,240,PID,25,0
25.085,320,240,PID,25,0
25.106,320,240,PID,25,0
25.123,320,240,PID,25,0
25.144,320,240,PID,25,0
25.162,320,240,PID,25,0
25.182,320,240,PID,25,0
25.203,320,240,PID,25,0
25.225,320,240,PID,25,0
25.246,320,240,PID,25,0
25.264,320,240,PID,25,0
25.285,320,240,PID,25,0
25.305,320,240,PID,25,0
25.322,320,240,PID,25,0
25.343,320,240,PID,25,0
25.361,320,240,PID,25,0
25.381,320,240,PID,25,0
25.399,320,240,PID,25,0
25.417,320,240,PID,25,0
25.437,320,240,PID,25,0
25.455,320,240,PID,25,0
25.476,320,240,PID,25,0
25.494,320,240,PID,25,0
25.513,320,240,PID,25,0
25.531,320,240,PID,25,0
25.559,320,240,PID,25,0
25.579,320,240,PID,25,0
25.597,320,240,PID,25,0
25.616,320,240,PID,25,0
25.634,320,240,PID,25,0
25.653,320,240,PID,25,0
25.673,320,240,PID,25,0
25.691,320,240,PID,25,0
25.711,320,240,PID,25,0
25.729,320,240,PID,25,0
25.749,320,240,PID,25,0
25.770,320,240,PID,25,0
25.789,320,240,PID,25,0
25.810,320,240,PID,25,0
25.829,320,240,PID,25,0
25.849,320,240,PID,25,0
25.869,320,240,PID,25,0
25.891,320,240,PID,25,0
25.909,320,240,PID,25,0
25.930,320,240,PID,25,0
25.950,320,240,PID,25,0
25.968,320,240,PID,25,0
25.987,320,240,PID,25,0
26.007,320,240,PID,25,0
26.024,320,240,PID,25,0
26.043,320,240,PID,25,0
26.063,320,240,PID,25,0
26.083,320,240,PID,25,0
26.101,320,240,PID,25,0
26.119,320,240,PID,25,0
26.138,320,240,PID,25,0
26.156,320,240,PID,25,0
26.175,320,240,PID,25,0
26.193,320,240,PID,25,0
26.212,320,240,PID,25,0
26.235,320,240,PID,25,0
26.253,320,240,PID,25,0
26.273,0,0,PID,25,0
26.295,0,0,PID,25,0
26.317,63,-70,PID,45,765.0
26.338,65,-73,PID,45,913.0
26.360,120,-19,PID,40,425.5
26.385,59,-68,PID,40,381.5
26.408,59,-68,PID,40,381.5
26.435,106,-5,PID,40,107.5
26.456,65,-25,PID,20,63.0
26.481,65,-25,PID,20,63.0
26.506,92,-37,PID,20,69.5
26.526,320,240,PID,25,0
26.547,320,240,PID,25,0
26.569,320,240,PID,25,0
26.588,320,240,PID,25,0
26.609,320,240,PID,25,0
26.626,320,240,PID,25,0
26.645,320,240,PID,25,0
26.664,320,240,PID,25,0
26.684,320,240,PID,25,0
26.702,320,240,PID,25,0
26.721,320,240,PID,25,0
26.742,320,240,PID,25,0
26.760,231,152,PID,20,33.5
26.782,297,217,PID,25,0
26.802,294,214,PID,25,0
26.821,291,212,PID,25,0
26.841,289,209,PID,25,0
26.860,286,206,PID,25,0
26.884,283,204,PID,25,0
26.904,281,201,PID,25,0
26.923,278,198,PID,25,0
26.945,275,196,PID,25,0
26.965,208,204,PID,40,163.0
26.985,231,199,PID,25,0
27.005,225,196,PID,25,0
27.024,219,194,PID,25,0
27.045,214,192,PID,25,0
27.065,208,189,PID,25,0
27.085,203,187,PID,25,0
27.105,197,185,PID,25,0
27.125,191,183,PID,25,0
27.145,186,180,PID,25,0
27.166,180,178,PID,25,0
27.186,174,176,PID,25,0
27.206,169,174,PID,25,0
27.232,163,171,PID,25,0
27.252,157,169,PID,25,0
27.274,152,167,PID,25,0
27.294,146,165,PID,25,0
27.314,141,162,PID,25,0
27.335,135,160,PID,25,0
27.355,129,158,PID,25,0
27.380,124,155,PID,25,0
27.403,118,153,PID,25,0
27.423,112,151,PID,25,0
27.447,107,149,PID,25,0
27.470,101,146,PID,25,0
27.490,95,144,PID,25,0
27.513,90,142,PID,25,0
27.534,84,140,PID,25,0
27.559,79,137,PID,25,0
27.582,73,135,PID,25,0
27.603,67,133,PID,25,0
27.623,62,130,PID,25,0
27.643,56,128,PID,25,0
27.664,50,126,PID,25,0
27.686,45,124,PID,25,0
27.707,39,121,PID,25,0
27.727,33,119,PID,25,0
27.749,28,117,PID,25,0
27.769,22,115,PID,25,0
27.789,17,112,PID,25,0
27.811,11,110,PID,25,0
27.832,5,108,PID,25,0
27.853,0,105,PID,25,0
27.874,-6,103,PID,25,0
27.898,-12,101,PID,25,0
27.919,-17,99,PID,25,0
27.942,-23,96,PID,25,0
27.963,-29,94,PID,25,0
27.984,-34,92,PID,25,0
28.004,-40,90,PID,25,0
28.024,-45,87,PID,25,0
28.048,-51,85,PID,25,0
28.068,-57,83,PID,25,0
28.089,-62,81,PID,25,0
28.111,-68,78,PID,25,0
28.133,-74,76,PID,25,0
28.154,-79,74,PID,25,0
28.177,-85,71,PID,25,0
28.197,-91,69,PID,25,0
28.223,-114,13,PID,20,76.5
28.246,-229,55,PID,40,245.5
28.268,-227,51,PID,45,633.0
28.291,-217,49,PID,40,477.5
28.315,-118,33,PID,45,1055.5
28.339,-116,31,PID,45,1135.0
28.362,-122,69,PID,45,838.0
28.385,-84,20,PID,45,548.0
28.409,-79,32,PID,40,270.0
28.431,-79,32,PID,40,270.0
28.452,-111,70,PID,40,444.5
28.476,-111,70,PID,40,444.5
28.499,-169,42,PID,40,143.5
28.520,-87,82,PID,40,112.5
28.544,-87,82,PID,40,112.5
28.567,-75,76,PID,40,153.0
28.588,-74,73,PID,40,137.0
28.613,-74,73,PID,40,137.0
28.636,-20,-5,PID,40,218.5
28.657,-18,4,PID,40,354.0
28.681,-18,4,PID,40,354.0
28.704,-33,15,PID,45,1204.5
28.725,-37,37,PID,45,654.5
28.747,-37,37,PID,45,654.5
28.770,-37,40,PID,40,399.0
28.792,-107,10,PID,40,455.5
28.816,-112,2,PID,45,808.0
28.840,-112,2,PID,45,808.0
28.863,-39,44,PID,45,881.0
28.888,-42,30,PID,45,969.5
28.912,-42,30,PID,45,969.5
28.940,-37,38,PID,45,1177.5
28.965,-16,18,PID,45,1620.0
28.988,-94,-1,PID,45,807.0
29.014,-94,-1,PID,45,807.0
29.038,-13,35,PID,45,1144.0
29.067,-28,27,PID,50,3023.5
29.089,-11,12,PID,50,3559.5
29.114,-11,12,PID,50,3559.5
29.138,-4,13,PID,50,3398.0
29.170,7,6,PID,50,3751.5
29.192,-7,30,PID,45,1645.0
29.222,-6,17,PID,50,4231.5
29.247,-13,6,PID,50,6427.5
29.271,-13,6,PID,50,6427.5
29.292,2,9,PID,50,5585.0
29.317,-1,12,PID,50,4252.0
29.342,-1,12,PID,50,4252.0
29.364,-10,18,PID,50,3868.5
29.385,-22,12,PID,50,5595.5
29.409,-22,12,PID,50,5595.5
29.433,-18,11,PID,50,5077.5
29.457,-15,7,PID,50,5438.5
29.483,-15,7,PID,50,5378.5
29.508,-15,7,PID,50,5378.5
29.530,3,8,PID,50,4903.5
29.555,-21,14,PID,50,7134.5
29.579,-21,14,PID,50,7134.5
29.603,-13,8,PID,50,5855.0
29.625,-17,7,PID,50,5659.5
29.648,7,4,PID,50,5839.5
29.674,7,4,PID,50,5839.5
29.695,-14,5,PID,50,7836.0
29.717,-11,5,PID,50,7124.0
29.740,-11,5,PID,50,7124.0
29.762,-11,7,PID,50,6841.5
29.784,11,5,PID,50,4888.0
29.807,-11,6,PID,50,6731.0
29.829,-11,6,PID,50,6731.0
29.850,7,9,PID,50,5027.0
29.872,7,9,PID,50,5027.0
29.900,-15,10,PID,50,8111.0
29.924,9,9,PID,50,5208.0
29.948,-17,7,PID,50,5331.5
29.970,-17,7,PID,50,5331.5
29.992,-14,6,PID,50,7321.0
30.016,-14,7,PID,50,7074.5
30.039,-14,7,PID,50,7074.5
30.061,-17,9,PID,50,7508.0
30.082,-20,8,PID,50,6191.0
30.105,-20,8,PID,50,6191.0
30.127,-18,8,PID,50,7537.0
30.149,-26,11,PID,50,9175.0
30.173,-26,11,PID,50,9186.5
30.195,5,9,PID,50,5135.0
30.222,5,7,PID,50,5343.0
30.244,5,7,PID,50,5343.0
30.267,-15,7,PID,50,7394.5
30.289,7,8,PID,50,5062.0
30.312,7,8,PID,50,5062.0
30.334,-21,9,PID,50,6370.0
30.356,-15,8,PID,50,7016.5
30.380,-23,10,PID,50,6837.0
30.405,-23,10,PID,50,6837.0
30.426,-11,7,PID,50,7295.0
30.449,-15,6,PID,50,7488.5
30.472,-15,6,PID,50,7488.5
30.495,-26,12,PID,50,6948.5
30.519,-19,4,PID,50,8656.0
30.542,-19,4,PID,50,8656.0
30.568,-20,3,PID,50,9211.5
30.591,-21,10,PID,50,8106.0
30.615,-19,10,PID,50,7321.0
30.639,-19,10,PID,50,7321.0
30.661,-17,9,PID,50,7055.0
30.684,-23,12,PID,50,8841.0
30.707,-24,12,PID,50,8875.5
30.729,1,2,PID,50,6727.0
30.750,-20,10,PID,50,8158.5
30.774,-23,13,PID,50,8382.0
30.796,-14,3,PID,50,8393.5
30.817,-18,3,PID,50,9320.0
30.841,-18,3,PID,50,9320.0
30.863,-20,3,PID,50,9974.0
30.889,0,7,PID,50,6542.0
30.914,0,7,PID,50,6542.0
30.937,5,16,PID,50,6826.0
30.959,-20,8,PID,50,8374.5
30.982,-13,5,PID,50,8122.5
31.005,-13,5,PID,50,8122.5
31.027,-15,9,PID,50,7895.0
31.050,-13,6,PID,50,7829.5
31.073,-13,6,PID,50,7829.5
31.095,1,8,PID,50,6422.0
31.117,2,7,PID,50,6746.5
31.140,2,7,PID,50,6746.5
31.162,1,9,PID,50,6812.5
31.183,3,8,PID,50,6567.0
31.207,3,8,PID,50,6567.0
31.230,2,8,PID,50,6973.0
31.252,2,7,PID,50,6916.5
31.277,2,7,PID,50,6916.5
31.300,1,7,PID,50,6472.0
31.323,0,8,PID,50,6448.5
31.347,0,8,PID,50,6448.5
31.371,1,7,PID,50,6252.5
31.393,2,6,PID,50,6444.0
31.415,1,7,PID,50,6702.0
31.439,1,7,PID,50,6702.0
31.461,2,8,PID,50,6456.0
31.482,4,5,PID,50,6054.5
31.506,4,5,PID,50,6054.5
31.528,-16,6,PID,50,8593.0
31.554,-15,5,PID,50,8308.5
31.579,-14,5,PID,50,8365.5
31.603,-14,5,PID,50,8365.5
31.625,-20,9,PID,50,9072.0
31.649,-19,8,PID,50,8223.5
31.672,-19,8,PID,50,8223.5
31.694,-19,9,PID,50,8422.5
31.715,-18,6,PID,50,9236.0
31.738,-18,6,PID,50,9236.0
31.760,-18,6,PID,50,9202.0
31.783,-22,13,PID,50,8936.0
31.806,-23,13,PID,50,9000.5
31.828,-22,6,PID,60,10174.0
31.849,-25,12,PID,60,10073.5
31.871,-25,12,PID,60,10103.0
31.897,-15,8,PID,50,8364.5
31.919,-22,8,PID,60,10499.0
31.942,-22,8,PID,60,10499.0
31.965,-26,13,PID,50,8505.5
31.986,-18,6,PID,50,8858.5
32.010,-18,6,PID,50,8858.5
32.031,-19,7,PID,50,8855.5
32.053,-1,9,PID,50,6683.5
32.076,-1,9,PID,50,6683.5
32.098,-19,8,PID,50,9116.5
32.120,-20,8,PID,50,9509.5
32.144,-20,8,PID,50,9509.5
32.167,-20,6,PID,50,9457.0
32.190,-26,10,PID,60,10136.0
32.213,-27,10,PID,60,10111.5
32.236,-28,8,PID,60,10148.5
32.259,-23,6,PID,60,10350.0
32.283,-24,9,PID,50,9452.0
32.306,-24,9,PID,50,9452.0
32.327,-20,7,PID,50,9585.5
32.349,-17,6,PID,50,9718.0
32.372,-17,6,PID,50,9718.0
32.394,-21,7,PID,50,9300.5
32.415,-20,8,PID,50,9158.5
32.439,-20,8,PID,50,9158.5
32.460,-22,9,PID,50,9552.5
32.481,-23,10,PID,50,9686.5
32.505,-22,10,PID,50,9618.5
32.527,-16,5,PID,50,9409.5
32.554,-11,5,PID,50,8113.5
32.579,-18,4,PID,60,10263.5
32.603,-18,4,PID,60,10263.5
32.625,-19,2,PID,60,10426.0
32.649,-20,6,PID,50,9294.5
32.672,-20,6,PID,50,9294.5
32.694,-20,3,PID,60,10177.0
32.717,-20,3,PID,60,10177.0
32.740,-19,4,PID,50,9860.5
32.761,-19,4,PID,60,11304.5
32.783,-23,8,PID,60,10407.5
32.805,-23,9,PID,60,10445.0
32.827,-17,6,PID,50,9158.5
32.848,-18,6,PID,50,9317.5
32.872,-18,6,PID,50,9317.5
32.899,-21,9,PID,50,9707.5
32.922,-20,8,PID,50,9733.5
32.949,-13,4,PID,50,9031.5
32.970,-13,4,PID,50,9029.5
32.990,-12,2,PID,50,8617.5
33.014,-12,2,PID,50,8634.5
33.035,-22,8,PID,60,10600.0
33.057,-20,8,PID,60,10064.5
33.079,-20,8,PID,60,10064.5
33.103,-19,3,PID,60,10218.0
33.126,-15,1,PID,50,9786.0
33.149,-14,2,PID,50,9926.5
33.171,-14,2,PID,50,9923.5
33.193,-20,6,PID,60,10207.5
33.219,-14,4,PID,50,8576.5
33.245,-14,4,PID,50,8576.5
33.270,-17,4,PID,50,9926.0
33.292,-16,5,PID,50,9554.5
33.314,-17,-3,PID,60,10696.5
33.336,-17,-3,PID,60,10739.5
33.358,-15,4,PID,50,9282.0
33.382,-18,4,PID,50,9245.5
33.406,-23,7,PID,60,10329.5
33.430,-24,8,PID,60,10398.0
33.453,-26,8,PID,60,10202.0
33.478,-20,3,PID,50,9405.5
33.501,-20,2,PID,50,9459.0
33.523,-15,4,PID,50,8105.0
33.546,-30,10,PID,50,9008.5
33.571,-30,10,PID,50,9008.5
33.592,-18,1,PID,50,9302.0
33.615,-17,0,PID,50,9415.5
33.638,-13,1,PID,50,9196.5
33.659,-18,1,PID,50,9636.0
