Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
2.816,85,-31,0.01,0.001,0.01,0.001
2.837,83,-17,0.01,0.001,0.01,0.001
2.859,80,-11,0.01,0.001,0.01,0.001
2.880,84,-9,0.01,0.001,0.01,0.001
2.901,69,3,0.01,0.001,0.01,0.001
2.922,67,8,0.01,0.001,0.01,0.001
2.943,58,16,0.01,0.001,0.01,0.001
2.966,57,19,0.01,0.001,0.01,0.001
2.988,55,23,0.01,0.001,0.01,0.001
3.009,50,28,0.01,0.001,0.01,0.001
3.033,41,34,0.01,0.001,0.01,0.001
3.055,36,42,0.01,0.001,0.01,0.001
3.083,17,52,0.01,0.001,0.01,0.001
3.104,-3,60,0.01,0.001,0.01,0.001
3.128,-11,64,0.01,0.001,0.01,0.001
3.149,-23,67,0.01,0.001,0.01,0.001
3.170,-35,64,0.01,0.001,0.01,0.001
3.193,-43,54,0.01,0.001,0.01,0.001
3.214,-43,48,0.01,0.001,0.01,0.001
3.235,-44,27,0.01,0.001,0.01,0.001
3.257,-46,13,0.01,0.001,0.01,0.001
3.278,-29,-2,0.01,0.001,0.01,0.001
3.301,-5,-16,0.01,0.001,0.01,0.001
3.322,-4,-28,0.01,0.001,0.01,0.001
3.343,33,-48,0.01,0.001,0.01,0.001
3.367,68,-59,0.01,0.001,0.01,0.001
3.389,77,-68,0.01,0.001,0.01,0.001
3.415,104,-72,0.01,0.001,0.01,0.001
3.436,133,-69,0.01,0.001,0.01,0.001
3.460,141,-71,0.01,0.001,0.01,0.001
3.481,166,-60,0.01,0.001,0.01,0.001
3.502,172,-47,0.01,0.001,0.01,0.001
3.525,172,-42,0.01,0.001,0.01,0.001
3.545,170,-29,0.01,0.001,0.01,0.001
3.567,154,-13,0.01,0.001,0.01,0.001
3.590,151,-9,0.01,0.001,0.01,0.001
3.611,136,2,0.01,0.001,0.01,0.001
3.634,134,4,0.01,0.001,0.01,0.001
3.658,126,16,0.01,0.001,0.01,0.001
3.679,111,24,0.01,0.001,0.01,0.001
3.700,99,31,0.01,0.001,0.01,0.001
3.721,98,33,0.01,0.001,0.01,0.001
3.747,90,40,0.01,0.001,0.01,0.001
3.767,78,45,0.01,0.001,0.01,0.001
3.790,78,49,0.01,0.001,0.01,0.001
3.811,58,46,0.01,0.001,0.01,0.001
3.833,43,44,0.01,0.001,0.01,0.001
3.857,39,43,0.01,0.001,0.01,0.001
3.878,23,37,0.01,0.001,0.01,0.001
3.900,-2,18,0.01,0.001,0.01,0.001
3.921,-10,5,0.01,0.001,0.01,0.001
3.942,-23,-9,0.01,0.001,0.01,0.001
3.965,-38,-27,0.01,0.001,0.01,0.001
3.987,-44,-38,0.01,0.001,0.01,0.001
4.008,-52,-53,0.01,0.001,0.01,0.001
4.032,-58,-73,0.01,0.001,0.01,0.001
4.053,-63,-83,0.01,0.001,0.01,0.001
4.079,-55,-93,0.01,0.001,0.01,0.001
4.103,-42,-98,0.01,0.001,0.01,0.001
