Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
12.217,12,18,0.01,0.001,0.01,0.001
12.237,22,13,0.01,0.001,0.01,0.001
12.259,25,9,0.01,0.001,0.01,0.001
12.280,53,1,0.01,0.001,0.01,0.001
12.301,72,-7,0.01,0.001,0.01,0.001
12.322,77,-11,0.01,0.001,0.01,0.001
12.343,97,-15,0.01,0.001,0.01,0.001
12.365,113,-5,0.01,0.001,0.01,0.001
12.387,114,-2,0.01,0.001,0.01,0.001
12.415,117,5,0.01,0.001,0.01,0.001
12.435,112,6,0.01,0.001,0.01,0.001
12.456,112,6,0.01,0.001,0.01,0.001
12.477,111,4,0.01,0.001,0.01,0.001
12.498,108,0,0.01,0.001,0.01,0.001
12.521,109,-2,0.01,0.001,0.01,0.001
12.542,103,-7,0.01,0.001,0.01,0.001
12.563,99,-11,0.01,0.001,0.01,0.001
12.586,99,-13,0.01,0.001,0.01,0.001
12.609,91,-18,0.01,0.001,0.01,0.001
12.631,91,-20,0.01,0.001,0.01,0.001
12.654,84,-25,0.01,0.001,0.01,0.001
12.675,77,-30,0.01,0.001,0.01,0.001
12.697,65,-39,0.01,0.001,0.01,0.001
12.719,63,-42,0.01,0.001,0.01,0.001
12.747,53,-48,0.01,0.001,0.01,0.001
12.768,39,-53,0.01,0.001,0.01,0.001
12.789,34,-54,0.01,0.001,0.01,0.001
12.811,19,-56,0.01,0.001,0.01,0.001
12.833,13,-57,0.01,0.001,0.01,0.001
12.855,-6,-55,0.01,0.001,0.01,0.001
12.876,-23,-53,0.01,0.001,0.01,0.001
12.897,-42,-50,0.01,0.001,0.01,0.001
12.920,-47,-51,0.01,0.001,0.01,0.001
12.941,-62,-48,0.01,0.001,0.01,0.001
12.965,-71,-47,0.01,0.001,0.01,0.001
12.987,-75,-47,0.01,0.001,0.01,0.001
13.008,-86,-52,0.01,0.001,0.01,0.001
13.031,-91,-64,0.01,0.001,0.01,0.001
13.054,-94,-70,0.01,0.001,0.01,0.001
13.079,-88,-80,0.01,0.001,0.01,0.001
13.100,-68,-86,0.01,0.001,0.01,0.001
13.124,-58,-86,0.01,0.001,0.01,0.001
13.146,-29,-84,0.01,0.001,0.01,0.001
13.166,17,-77,0.01,0.001,0.01,0.001
13.189,46,-61,0.01,0.001,0.01,0.001
13.210,83,-39,0.01,0.001,0.01,0.001
13.231,110,-8,0.01,0.001,0.01,0.001
13.254,123,11,0.01,0.001,0.01,0.001
13.275,120,41,0.01,0.001,0.01,0.001
13.298,114,78,0.01,0.001,0.01,0.001
13.324,116,105,0.01,0.001,0.01,0.001
13.345,115,130,0.01,0.001,0.01,0.001
13.366,104,154,0.01,0.001,0.01,0.001
13.387,103,165,0.01,0.001,0.01,0.001
13.414,88,169,0.01,0.001,0.01,0.001
13.437,83,177,0.01,0.001,0.01,0.001
13.460,74,181,0.01,0.001,0.01,0.001
13.482,70,180,0.01,0.001,0.01,0.001
13.503,52,182,0.01,0.001,0.01,0.001
13.525,45,179,0.01,0.001,0.01,0.001
13.546,20,180,0.01,0.001,0.01,0.001
13.566,-14,179,0.01,0.001,0.01,0.001
13.588,-15,178,0.01,0.001,0.01,0.001
13.608,-45,177,0.01,0.001,0.01,0.001
13.630,-74,174,0.01,0.001,0.01,0.001
13.651,-75,174,0.01,0.001,0.01,0.001
13.672,-117,170,0.01,0.001,0.01,0.001
13.693,-125,173,0.01,0.001,0.01,0.001
13.714,-159,163,0.01,0.001,0.01,0.001
13.740,-188,154,0.01,0.001,0.01,0.001
13.761,-200,152,0.01,0.001,0.01,0.001
13.783,-209,145,0.01,0.001,0.01,0.001
13.805,-203,134,0.01,0.001,0.01,0.001
13.829,-194,116,0.01,0.001,0.01,0.001
13.851,-193,103,0.01,0.001,0.01,0.001
13.872,-186,87,0.01,0.001,0.01,0.001
13.894,-186,73,0.01,0.001,0.01,0.001
13.918,-180,54,0.01,0.001,0.01,0.001
13.941,-170,32,0.01,0.001,0.01,0.001
13.964,-162,9,0.01,0.001,0.01,0.001
13.986,-158,-6,0.01,0.001,0.01,0.001
14.007,-153,-25,0.01,0.001,0.01,0.001
14.028,-151,-39,0.01,0.001,0.01,0.001
14.050,-145,-53,0.01,0.001,0.01,0.001
14.077,-137,-67,0.01,0.001,0.01,0.001
14.099,-124,-80,0.01,0.001,0.01,0.001
14.120,-119,-90,0.01,0.001,0.01,0.001
14.141,-111,-98,0.01,0.001,0.01,0.001
14.164,-102,-104,0.01,0.001,0.01,0.001
14.187,-97,-108,0.01,0.001,0.01,0.001
14.208,-88,-109,0.01,0.001,0.01,0.001
14.231,-78,-109,0.01,0.001,0.01,0.001
14.252,-73,-109,0.01,0.001,0.01,0.001
14.273,-66,-108,0.01,0.001,0.01,0.001
14.297,-55,-107,0.01,0.001,0.01,0.001
14.320,-49,-106,0.01,0.001,0.01,0.001
14.341,-40,-105,0.01,0.001,0.01,0.001
14.364,-27,-105,0.01,0.001,0.01,0.001
14.386,-21,-105,0.01,0.001,0.01,0.001
14.413,-6,-105,0.01,0.001,0.01,0.001
14.434,11,-102,0.01,0.001,0.01,0.001
14.456,18,-98,0.01,0.001,0.01,0.001
14.478,34,-93,0.01,0.001,0.01,0.001
14.499,55,-85,0.01,0.001,0.01,0.001
14.522,63,-78,0.01,0.001,0.01,0.001
14.545,66,-66,0.01,0.001,0.01,0.001
14.568,66,-46,0.01,0.001,0.01,0.001
14.591,76,-33,0.01,0.001,0.01,0.001
14.614,127,36,0.01,0.001,0.01,0.001
14.637,117,79,0.01,0.001,0.01,0.001
14.661,63,135,0.01,0.001,0.01,0.001
14.683,30,165,0.01,0.001,0.01,0.001
14.705,-8,172,0.01,0.001,0.01,0.001
14.731,-45,169,0.01,0.001,0.01,0.001
14.757,-65,167,0.01,0.001,0.01,0.001
14.778,-82,166,0.01,0.001,0.01,0.001
14.798,-87,175,0.01,0.001,0.01,0.001
14.821,-87,176,0.01,0.001,0.01,0.001
14.842,-102,173,0.01,0.001,0.01,0.001
